,Date,Regular,Diesel
370,2023-09-03,,
371,2023-09-04,3.81,4.45
372,2023-09-05,,
373,2023-09-06,,
374,2023-09-07,,
375,2023-09-08,,
376,2023-09-09,,
377,2023-09-10,,
378,2023-09-11,3.83,4.48
379,2023-09-12,,
380,2023-09-13,,
381,2023-09-14,,
382,2023-09-15,,
383,2023-09-16,,
384,2023-09-17,,
385,2023-09-18,3.88,4.58
386,2023-09-19,,
387,2023-09-20,,
388,2023-09-21,,
389,2023-09-22,,
390,2023-09-23,,
391,2023-09-24,,
392,2023-09-25,3.85,4.57
393,2023-09-26,,
394,2023-09-27,,
395,2023-09-28,,
396,2023-09-29,,
397,2023-09-30,,
398,2023-10-01,,
399,2023-10-02,3.81,4.58
400,2023-10-03,,
401,2023-10-04,,
402,2023-10-05,,
403,2023-10-06,,
404,2023-10-07,,
405,2023-10-08,,
406,2023-10-09,3.7,4.51
407,2023-10-10,,
408,2023-10-11,,
409,2023-10-12,,
410,2023-10-13,,
411,2023-10-14,,
412,2023-10-15,,
413,2023-10-16,3.6,4.46
414,2023-10-17,,
415,2023-10-18,,
416,2023-10-19,,
417,2023-10-20,,
418,2023-10-21,,
419,2023-10-22,,
420,2023-10-23,3.55,4.5
421,2023-10-24,,
422,2023-10-25,,
423,2023-10-26,,
424,2023-10-27,,
425,2023-10-28,,
426,2023-10-29,,
427,2023-10-30,3.49,4.47
428,2023-10-31,,
429,2023-11-01,,
430,2023-11-02,,
431,2023-11-03,,
432,2023-11-04,,
433,2023-11-05,,
434,2023-11-06,3.42,4.4
435,2023-11-07,,
436,2023-11-08,,
437,2023-11-09,,
438,2023-11-10,,
439,2023-11-11,,
440,2023-11-12,,
441,2023-11-13,3.37,4.35
442,2023-11-14,,
443,2023-11-15,,
444,2023-11-16,,
445,2023-11-17,,
446,2023-11-18,,
447,2023-11-19,,
448,2023-11-20,3.31,4.28
449,2023-11-21,,
450,2023-11-22,,
451,2023-11-23,,
452,2023-11-24,,
453,2023-11-25,,
454,2023-11-26,,
455,2023-11-27,3.25,4.23
456,2023-11-28,,
457,2023-11-29,,
458,2023-11-30,,
459,2023-12-01,,
460,2023-12-02,,
461,2023-12-03,,
462,2023-12-04,3.24,4.19
463,2023-12-05,,
464,2023-12-06,,
465,2023-12-07,,
466,2023-12-08,,
467,2023-12-09,,
468,2023-12-10,,
469,2023-12-11,3.15,4.1
470,2023-12-12,,
471,2023-12-13,,
472,2023-12-14,,
473,2023-12-15,,
474,2023-12-16,,
475,2023-12-17,,
476,2023-12-18,3.07,4.01
477,2023-12-19,,
478,2023-12-20,,
479,2023-12-21,,
480,2023-12-22,,
481,2023-12-23,,
482,2023-12-24,,
483,2023-12-25,3.13,4.02
484,2023-12-26,,
485,2023-12-27,,
486,2023-12-28,,
487,2023-12-29,,
488,2023-12-30,,
489,2023-12-31,,
490,2024-01-01,3.11,3.98
491,2024-01-02,,
492,2024-01-03,,
493,2024-01-04,,
494,2024-01-05,,
495,2024-01-06,,
496,2024-01-07,,
497,2024-01-08,3.08,3.95
498,2024-01-09,,
499,2024-01-10,,
500,2024-01-11,,
501,2024-01-12,,
502,2024-01-13,,
503,2024-01-14,,
504,2024-01-15,3.07,3.92
505,2024-01-16,,
506,2024-01-17,,
507,2024-01-18,,
508,2024-01-19,,
509,2024-01-20,,
510,2024-01-21,,
511,2024-01-22,3.08,3.91
512,2024-01-23,,
513,2024-01-24,,
514,2024-01-25,,
515,2024-01-26,,
516,2024-01-27,,
517,2024-01-28,,
518,2024-01-29,3.11,3.91
519,2024-01-30,,
520,2024-01-31,,
521,2024-02-01,,
522,2024-02-02,,
523,2024-02-03,,
524,2024-02-04,,
525,2024-02-05,3.15,3.93
526,2024-02-06,,
527,2024-02-07,,
528,2024-02-08,,
529,2024-02-09,,
530,2024-02-10,,
531,2024-02-11,,
532,2024-02-12,3.2,4.0
533,2024-02-13,,
534,2024-02-14,,
535,2024-02-15,,
536,2024-02-16,,
537,2024-02-17,,
538,2024-02-18,,
539,2024-02-19,3.28,4.1
540,2024-02-20,,
541,2024-02-21,,
542,2024-02-22,,
543,2024-02-23,,
544,2024-02-24,,
545,2024-02-25,,
546,2024-02-26,3.26,4.07
547,2024-02-27,,
548,2024-02-28,,
549,2024-02-29,,
550,2024-03-01,,
551,2024-03-02,,
552,2024-03-03,,
553,2024-03-04,3.35,4.05
554,2024-03-05,,
555,2024-03-06,,
556,2024-03-07,,
557,2024-03-08,,
558,2024-03-09,,
559,2024-03-10,,
560,2024-03-11,3.4,4.03
561,2024-03-12,,
562,2024-03-13,,
563,2024-03-14,,
564,2024-03-15,,
565,2024-03-16,,
566,2024-03-17,,
567,2024-03-18,3.47,4.03
568,2024-03-19,,
569,2024-03-20,,
570,2024-03-21,,
571,2024-03-22,,
572,2024-03-23,,
573,2024-03-24,,
574,2024-03-25,3.53,4.04
575,2024-03-26,,
576,2024-03-27,,
577,2024-03-28,,
578,2024-03-29,,
579,2024-03-30,,
580,2024-03-31,,
581,2024-04-01,3.54,4.02
582,2024-04-02,,
583,2024-04-03,,
584,2024-04-04,,
585,2024-04-05,,
586,2024-04-06,,
587,2024-04-07,,
588,2024-04-08,3.6,4.04
589,2024-04-09,,
590,2024-04-10,,
591,2024-04-11,,
592,2024-04-12,,
593,2024-04-13,,
594,2024-04-14,,
595,2024-04-15,3.63,4.04
596,2024-04-16,,
597,2024-04-17,,
598,2024-04-18,,
599,2024-04-19,,
600,2024-04-20,,
601,2024-04-21,,
602,2024-04-22,3.68,4.03
603,2024-04-23,,
604,2024-04-24,,
605,2024-04-25,,
606,2024-04-26,,
607,2024-04-27,,
608,2024-04-28,,
609,2024-04-29,3.66,4.0
610,2024-04-30,,
611,2024-05-01,,
612,2024-05-02,,
613,2024-05-03,,
614,2024-05-04,,
615,2024-05-05,,
616,2024-05-06,3.65,3.97
617,2024-05-07,,
618,2024-05-08,,
619,2024-05-09,,
620,2024-05-10,,
621,2024-05-11,,
622,2024-05-12,,
623,2024-05-13,3.62,3.93
624,2024-05-14,,
625,2024-05-15,,
626,2024-05-16,,
627,2024-05-17,,
628,2024-05-18,,
629,2024-05-19,,
630,2024-05-20,3.59,3.9
631,2024-05-21,,
632,2024-05-22,,
633,2024-05-23,,
634,2024-05-24,,
635,2024-05-25,,
636,2024-05-26,,
637,2024-05-27,3.59,3.87
638,2024-05-28,,
639,2024-05-29,,
640,2024-05-30,,
641,2024-05-31,,
642,2024-06-01,,
643,2024-06-02,,
644,2024-06-03,3.53,3.85
645,2024-06-04,,
646,2024-06-05,,
647,2024-06-06,,
648,2024-06-07,,
649,2024-06-08,,
650,2024-06-09,,
651,2024-06-10,3.45,3.79
652,2024-06-11,,
653,2024-06-12,,
654,2024-06-13,,
655,2024-06-14,,
656,2024-06-15,,
657,2024-06-16,,
658,2024-06-17,3.45,3.77
659,2024-06-18,,
660,2024-06-19,,
661,2024-06-20,,
662,2024-06-21,,
663,2024-06-22,,
664,2024-06-23,,
665,2024-06-24,3.45,3.79
666,2024-06-25,,
